product_id,Average Sales per Week,weight KG,Length cm,Width cm,Depth cm
1,229,0.15,5,5,4
2,699,0.137,6,5,4
3,323,5.434,23,21,12
4,434,14.363,34,33,7
5,109,20.438,56,43,8
6,482,0.177,9,9,2
7,383,0.979,14,12,8
8,399,0.071,5,5,2
9,680,0.58,9,8,5
10,476,0.199,5,5,5
11,745,0.074,6,5,5
12,921,2.138,24,12,10
13,861,0.386,10,6,6
14,774,7.469,43,19,12
15,410,32.0,78,45,36
16,858,32.0,86,66,17
17,253,0.167,5,5,5
18,806,32.0,51,51,13
19,578,0.022,7,7,2
20,381,0.607,9,9,4
21,982,1.797,31,21,4
22,896,0.12,5,5,3
23,290,0.135,8,8,5
24,104,3.351,23,11,7
25,275,0.646,13,11,10
26,403,12.479,58,29,16
27,291,0.111,5,5,4
28,349,0.16,5,5,5
29,363,7.223,45,34,8
30,450,0.045,8,5,3
31,335,1.462,19,12,4
32,682,32.0,32,27,26
33,785,32.0,63,35,29
34,829,0.1,5,5,2
35,175,6.26,34,13,8
36,380,0.289,10,6,6
37,755,0.488,8,8,4
38,443,3.988,58,7,5
39,752,0.107,23,5,3
40,500,2.96,14,11,10
41,881,22.758,47,27,12
42,655,32.0,40,38,31
43,422,0.135,5,5,5
44,172,23.236,50,17,15
45,231,0.217,8,8,4
46,832,0.845,11,10,8
47,387,0.139,5,5,4
48,519,8.268,58,15,5
49,943,0.246,5,5,5
50,643,1.428,28,19,5
51,136,32.0,99,68,57
52,411,32.0,98,35,16
53,892,0.069,5,5,3
54,407,32.0,34,30,22
55,831,0.625,25,7,2
56,208,0.295,9,9,6
57,508,6.87,44,44,5
58,728,0.199,6,6,6
59,911,0.616,9,9,7
60,144,0.65,22,22,2
61,211,0.042,5,5,2
62,221,1.129,24,12,6
63,324,9.503,40,16,9
64,830,4.429,26,12,9
65,953,0.054,5,5,5
66,712,0.171,16,6,2
67,147,0.215,5,5,5
68,980,0.146,9,6,3
69,131,0.738,15,6,5
70,998,19.77,56,37,7
71,774,0.734,20,17,5
72,665,0.028,5,5,2
73,658,0.143,5,5,5
74,137,32.0,91,44,16
75,286,11.609,21,18,18
76,920,0.3,6,6,6
77,244,32.0,61,55,19
78,681,0.086,6,6,4
79,670,0.491,37,8,4
80,334,0.273,9,6,5
81,517,0.147,5,5,3
